,ONT_Guat_Endemic_Patzun01,ONT_Guat_Endemic_Patzun02,ONT_Guat_Endemic_Solola01,ONT_Guat_Endemic_Solola02,ONT_Nepal_Endemic_KTM01,ONT_Nepal_Endemic_KTM02,ONT_Nepal_Endemic_Pokhara,ONT_Nepal_Endemic_Pokhara1,ONT_Nepal_Endemic_Pokhara2,ONT_Peru_Endemic_Cusco01,ONT_Peru_Endemic_Cusco02,ONT_Peru_Endemic_Lima01,ONT_Peru_Endemic_Lima02,ONT_Travel_Return_EU_Guat,ONT_Travel_Return_UK_Peru,ONT_Travel_Return_US_Nepal,ONT_US_2025_Clinical_A1,ONT_US_2025_Clinical_A2,ONT_US_2025_Clinical_A3,ONT_US_2025_Clinical_A4,ONT_US_2025_Clinical_A5,ONT_US_2025_Clinical_B1,ONT_US_2025_Clinical_B2,ONT_US_2025_Clinical_B3,ONT_US_2025_Clinical_B4,ONT_US_2025_Clinical_B5
ONT_Peru_Endemic_Cusco02,0.2264337601711291,0.22643376017112893,0.22643376017112893,0.2564187481338998,0.14454481738925454,0.20204076637825427,0.13531766381849797,0.13531766381849797,0.13531766381849797,2.634178031930877e-09,0.0,0.08660888157495142,0.16684477859701258,0.22643376017112904,0.08184530023726948,0.14454481738925445,0.29279967744756275,0.29279967744756275,0.29279967744756275,0.29279967744756275,0.29279967744756275,0.2939501578099367,0.2939501578099367,0.2939501578099367,0.2939501578099367,0.2939501578099367
ONT_Peru_Endemic_Lima01,0.23126801143589687,0.2312680114358967,0.23126801143589665,0.25934663208148995,0.16339984784093467,0.21077368100168906,0.14958278050836574,0.14958278050836574,0.14958278050836574,0.08660888157495142,0.08660888157495142,0.0,0.09471811457353921,0.23126801143589676,0.06851128800407803,0.16339984784093453,0.2978460136946824,0.2978460136946824,0.29784601369468233,0.2978460136946824,0.2978460136946824,0.3501788237012958,0.3501788237012959,0.3501788237012959,0.3501788237012959,0.3501788237012959
ONT_Peru_Endemic_Lima02,0.2734475872845068,0.2734475872845067,0.27344758728450663,0.30198291847124725,0.20827168915658004,0.2593418577761459,0.19649949031643196,0.19649949031643194,0.19649949031643194,0.16684477859701258,0.16684477859701258,0.09471811457353921,0.0,0.2734475872845067,0.1529191448156847,0.2082716891565799,0.341297359859741,0.341297359859741,0.341297359859741,0.341297359859741,0.341297359859741,0.39130326202515947,0.3913032620251595,0.3913032620251595,0.3913032620251595,0.3913032620251595
ONT_Travel_Return_EU_Guat,0.13682047030185152,0.13682047030185132,2.634178031930877e-09,0.2545181358663798,0.169955936339713,0.22382759396227483,0.15897406528691935,0.15897406528691937,0.15897406528691937,0.226433760171129,0.22643376017112904,0.23126801143589676,0.2734475872845067,0.0,0.22855023252349005,0.1699559363397129,0.31102091882513444,0.31102091882513444,0.3110209188251344,0.31102091882513444,0.3110209188251344,0.31094879054394686,0.3109487905439469,0.31094879054394686,0.31094879054394686,0.31094879054394686
ONT_Travel_Return_UK_Peru,0.22855023252349016,0.22855023252349005,0.22855023252348994,0.2554754440971909,0.1653175070303024,0.2073856624733995,0.15120340984190866,0.15120340984190866,0.15120340984190866,0.08184530023726948,0.08184530023726948,0.06851128800407803,0.1529191448156847,0.22855023252349005,0.0,0.16531750703030226,0.2962701008243075,0.2962701008243075,0.2962701008243075,0.2962701008243075,0.2962701008243075,0.34839813714744106,0.34839813714744106,0.34839813714744106,0.34839813714744106,0.34839813714744106
ONT_Travel_Return_US_Nepal,0.169955936339713,0.1699559363397128,0.16995593633971282,0.20506760385471762,6.177695077574625e-09,0.11609758047435068,0.09026544815528623,0.09026544815528623,0.09026544815528623,0.1445448173892544,0.14454481738925445,0.16339984784093453,0.2082716891565799,0.1699559363397129,0.16531750703030226,0.0,0.31449946862846034,0.31449946862846034,0.3144994686284603,0.31449946862846034,0.3144994686284603,0.22819264249973617,0.22819264249973628,0.22819264249973623,0.22819264249973623,0.22819264249973623
ONT_US_2025_Clinical_A1,0.3110209188251345,0.3110209188251345,0.3110209188251345,0.34035558042372144,0.31449946862846045,0.36998675165248945,0.24069672338346973,0.24069672338346973,0.2406967233834697,0.2927996774475627,0.29279967744756275,0.2978460136946824,0.341297359859741,0.31102091882513444,0.2962701008243075,0.31449946862846034,0.0,3.725290298461914e-09,3.725290298461914e-09,5.268356063861754e-09,3.725290298461914e-09,0.3500108079316793,0.3500108079316794,0.35001080793167944,0.35001080793167944,0.35001080793167944
ONT_US_2025_Clinical_A2,0.3110209188251345,0.31102091882513444,0.3110209188251345,0.3403555804237214,0.31449946862846045,0.36998675165248945,0.24069672338346973,0.24069672338346973,0.2406967233834697,0.2927996774475627,0.29279967744756275,0.2978460136946824,0.341297359859741,0.31102091882513444,0.2962701008243075,0.31449946862846034,3.725290298461914e-09,0.0,0.0,5.268356063861754e-09,3.725290298461914e-09,0.3500108079316794,0.35001080793167944,0.35001080793167944,0.35001080793167944,0.35001080793167944
ONT_US_2025_Clinical_A3,0.3110209188251345,0.3110209188251344,0.31102091882513444,0.3403555804237214,0.31449946862846045,0.3699867516524894,0.24069672338346973,0.2406967233834697,0.2406967233834697,0.2927996774475627,0.29279967744756275,0.29784601369468233,0.341297359859741,0.3110209188251344,0.2962701008243075,0.3144994686284603,3.725290298461914e-09,0.0,0.0,3.725290298461914e-09,0.0,0.3500108079316794,0.35001080793167944,0.35001080793167944,0.35001080793167944,0.35001080793167944
ONT_US_2025_Clinical_A4,0.3110209188251345,0.31102091882513444,0.3110209188251345,0.3403555804237214,0.31449946862846045,0.36998675165248945,0.24069672338346973,0.2406967233834697,0.2406967233834697,0.29279967744756275,0.29279967744756275,0.2978460136946824,0.341297359859741,0.31102091882513444,0.2962701008243075,0.31449946862846034,5.268356063861754e-09,5.268356063861754e-09,3.725290298461914e-09,0.0,3.725290298461914e-09,0.3500108079316794,0.35001080793167944,0.35001080793167944,0.35001080793167944,0.35001080793167944
ONT_US_2025_Clinical_A5,0.3110209188251345,0.3110209188251344,0.3110209188251345,0.34035558042372144,0.31449946862846045,0.3699867516524894,0.24069672338346973,0.24069672338346973,0.2406967233834697,0.29279967744756275,0.29279967744756275,0.2978460136946824,0.341297359859741,0.3110209188251344,0.2962701008243075,0.3144994686284603,3.725290298461914e-09,3.725290298461914e-09,0.0,3.725290298461914e-09,0.0,0.3500108079316794,0.35001080793167944,0.35001080793167944,0.35001080793167944,0.35001080793167944
ONT_US_2025_Clinical_B1,0.31094879054394686,0.31094879054394675,0.31094879054394686,0.3400197318819507,0.22819264249973617,0.27827014389577664,0.2407761247555407,0.2407761247555407,0.2407761247555407,0.29395015780993666,0.2939501578099367,0.3501788237012958,0.39130326202515947,0.31094879054394686,0.34839813714744106,0.22819264249973617,0.3500108079316793,0.3500108079316794,0.3500108079316794,0.3500108079316794,0.3500108079316794,0.0,5.268356063861754e-09,3.725290298461914e-09,5.268356063861754e-09,5.268356063861754e-09
ONT_US_2025_Clinical_B2,0.31094879054394686,0.31094879054394675,0.310948790543947,0.3400197318819507,0.22819264249973611,0.27827014389577664,0.24077612475554075,0.24077612475554075,0.24077612475554072,0.2939501578099367,0.2939501578099367,0.3501788237012959,0.3913032620251595,0.3109487905439469,0.34839813714744106,0.22819264249973628,0.3500108079316794,0.35001080793167944,0.35001080793167944,0.35001080793167944,0.35001080793167944,5.268356063861754e-09,0.0,5.268356063861754e-09,5.268356063861754e-09,5.268356063861754e-09
ONT_US_2025_Clinical_B3,0.31094879054394686,0.3109487905439467,0.3109487905439469,0.3400197318819507,0.22819264249973614,0.27827014389577664,0.24077612475554072,0.24077612475554075,0.24077612475554072,0.2939501578099367,0.2939501578099367,0.3501788237012959,0.3913032620251595,0.31094879054394686,0.34839813714744106,0.22819264249973623,0.35001080793167944,0.35001080793167944,0.35001080793167944,0.35001080793167944,0.35001080793167944,3.725290298461914e-09,5.268356063861754e-09,0.0,0.0,0.0
ONT_US_2025_Clinical_B4,0.31094879054394686,0.3109487905439467,0.3109487905439469,0.3400197318819507,0.22819264249973611,0.27827014389577664,0.24077612475554072,0.24077612475554072,0.24077612475554072,0.2939501578099367,0.2939501578099367,0.3501788237012959,0.3913032620251595,0.31094879054394686,0.34839813714744106,0.22819264249973623,0.35001080793167944,0.35001080793167944,0.35001080793167944,0.35001080793167944,0.35001080793167944,5.268356063861754e-09,5.268356063861754e-09,0.0,0.0,0.0
ONT_US_2025_Clinical_B5,0.31094879054394686,0.3109487905439467,0.3109487905439469,0.3400197318819507,0.22819264249973611,0.27827014389577664,0.24077612475554072,0.24077612475554072,0.24077612475554072,0.2939501578099367,0.2939501578099367,0.3501788237012959,0.3913032620251595,0.31094879054394686,0.34839813714744106,0.22819264249973623,0.35001080793167944,0.35001080793167944,0.35001080793167944,0.35001080793167944,0.35001080793167944,5.268356063861754e-09,5.268356063861754e-09,0.0,0.0,0.0
